vi	V(n003)	I(Rc)	I(Rb)
0.000000000000000e+00	1.006573e-06	1.009255e-11	-1.006573e-11
1.000000000000000e-02	1.000100e-02	1.009314e-11	-1.004480e-11
2.000000000000000e-02	2.000100e-02	1.010450e-11	-1.002332e-11
3.000000000000000e-02	3.000100e-02	1.012293e-11	-1.000157e-11
4.000000000000000e-02	4.000100e-02	1.015257e-11	-9.979302e-12
5.000000000000000e-02	5.000100e-02	1.020307e-11	-9.956368e-12
6.000000000000000e-02	6.000099e-02	1.028210e-11	-9.932553e-12
7.000000000000001e-02	7.000099e-02	1.040090e-11	-9.907619e-12
8.000000000000000e-02	8.000099e-02	1.057819e-11	-9.881217e-12
9.000000000000000e-02	9.000099e-02	1.084481e-11	-9.852879e-12
9.999999999999999e-02	1.000010e-01	1.124066e-11	-9.822000e-12
1.100000000000000e-01	1.100010e-01	1.182666e-11	-9.787809e-12
1.200000000000000e-01	1.200010e-01	1.269021e-11	-9.749263e-12
1.300000000000000e-01	1.300010e-01	1.396320e-11	-9.704956e-12
1.400000000000000e-01	1.400010e-01	1.583199e-11	-9.653001e-12
1.500000000000000e-01	1.500010e-01	1.858174e-11	-9.590945e-12
1.600000000000000e-01	1.600010e-01	2.261437e-11	-9.515441e-12
1.700000000000000e-01	1.700009e-01	2.853881e-11	-9.421857e-12
1.800000000000000e-01	1.800009e-01	3.723009e-11	-9.304146e-12
1.900000000000000e-01	1.900009e-01	4.998650e-11	-9.153823e-12
2.000000000000000e-01	2.000009e-01	6.869959e-11	-8.959491e-12
2.100000000000000e-01	2.100009e-01	9.615213e-11	-8.705306e-12
2.200000000000001e-01	2.200008e-01	1.364251e-10	-8.369445e-12
2.300000000000001e-01	2.300008e-01	1.954997e-10	-7.921801e-12
2.400000000000001e-01	2.400007e-01	2.821578e-10	-7.320144e-12
2.500000000000001e-01	2.500007e-01	4.092693e-10	-6.505719e-12
2.600000000000001e-01	2.600005e-01	5.957205e-10	-5.395933e-12
2.700000000000001e-01	2.700004e-01	8.692059e-10	-3.874256e-12
2.800000000000001e-01	2.800002e-01	1.270354e-09	-1.776044e-12
2.900000000000001e-01	2.899999e-01	1.858748e-09	1.132377e-12
3.000000000000001e-01	2.999995e-01	2.721783e-09	5.183837e-12
3.100000000000001e-01	3.099989e-01	3.987638e-09	1.085348e-11
3.200000000000001e-01	3.199981e-01	5.844296e-09	1.882162e-11
3.300000000000001e-01	3.299970e-01	8.567440e-09	3.006485e-11
3.400000000000001e-01	3.399954e-01	1.256133e-08	4.598810e-11
3.500000000000001e-01	3.499931e-01	1.841870e-08	6.861666e-11
3.600000000000002e-01	3.599899e-01	2.700850e-08	1.008748e-10
