r	I(Rl)
1.000000000000000e-06	8.978430e-03
1.258925411794167e-06	8.978431e-03
1.584893192461113e-06	8.978430e-03
1.995262314968880e-06	8.978430e-03
2.511886431509580e-06	8.978431e-03
3.162277660168380e-06	8.978431e-03
3.981071705534973e-06	8.978430e-03
5.011872336272724e-06	8.978431e-03
6.309573444801935e-06	8.978431e-03
7.943282347242818e-06	8.978431e-03
1.000000000000000e-05	8.978431e-03
1.258925411794168e-05	8.978431e-03
1.584893192461114e-05	8.978431e-03
1.995262314968881e-05	8.978431e-03
2.511886431509582e-05	8.978431e-03
3.162277660168382e-05	8.978431e-03
3.981071705534976e-05	8.978431e-03
5.011872336272727e-05	8.978431e-03
6.309573444801939e-05	8.978431e-03
7.943282347242823e-05	8.978431e-03
1.000000000000001e-04	8.978431e-03
1.258925411794169e-04	8.978431e-03
1.584893192461116e-04	8.978431e-03
1.995262314968882e-04	8.978431e-03
2.511886431509584e-04	8.978431e-03
3.162277660168384e-04	8.978431e-03
3.981071705534979e-04	8.978431e-03
5.011872336272731e-04	8.978431e-03
6.309573444801943e-04	8.978431e-03
7.943282347242828e-04	8.978431e-03
1.000000000000002e-03	8.978431e-03
1.258925411794169e-03	8.978431e-03
1.584893192461116e-03	8.978431e-03
1.995262314968883e-03	8.978431e-03
2.511886431509585e-03	8.978431e-03
3.162277660168385e-03	8.978431e-03
3.981071705534979e-03	8.978431e-03
5.011872336272732e-03	8.978431e-03
6.309573444801944e-03	8.978431e-03
7.943282347242829e-03	8.978431e-03
1.000000000000002e-02	8.978431e-03
1.258925411794170e-02	8.978431e-03
1.584893192461117e-02	8.978431e-03
1.995262314968884e-02	8.978431e-03
2.511886431509586e-02	8.978430e-03
3.162277660168387e-02	8.978430e-03
3.981071705534982e-02	8.978430e-03
5.011872336272736e-02	8.978430e-03
6.309573444801950e-02	8.978430e-03
7.943282347242837e-02	8.978429e-03
1.000000000000003e-01	8.978429e-03
1.258925411794171e-01	8.978428e-03
1.584893192461118e-01	8.978427e-03
1.995262314968886e-01	8.978426e-03
2.511886431509588e-01	8.978426e-03
3.162277660168389e-01	8.978425e-03
3.981071705534985e-01	8.978423e-03
5.011872336272739e-01	8.978420e-03
6.309573444801954e-01	8.978417e-03
7.943282347242842e-01	8.978414e-03
1.000000000000003e+00	8.978410e-03
1.258925411794172e+00	8.978404e-03
1.584893192461119e+00	8.978397e-03
1.995262314968887e+00	8.978388e-03
2.511886431509589e+00	8.978377e-03
3.162277660168391e+00	8.978363e-03
3.981071705534987e+00	8.978345e-03
5.011872336272742e+00	8.978323e-03
6.309573444801956e+00	8.978294e-03
7.943282347242846e+00	8.978260e-03
1.000000000000004e+01	8.978215e-03
1.258925411794172e+01	8.978159e-03
1.584893192461120e+01	8.978088e-03
1.995262314968888e+01	8.977999e-03
2.511886431509591e+01	8.977887e-03
3.162277660168393e+01	8.977746e-03
3.981071705534990e+01	8.977568e-03
5.011872336272745e+01	8.977343e-03
6.309573444801961e+01	8.977060e-03
7.943282347242851e+01	8.976704e-03
1.000000000000005e+02	8.976253e-03
1.258925411794173e+02	8.975683e-03
1.584893192461121e+02	8.974962e-03
1.995262314968889e+02	8.974050e-03
2.511886431509593e+02	8.972893e-03
3.162277660168395e+02	8.971421e-03
3.981071705534993e+02	8.969547e-03
5.011872336272748e+02	8.967151e-03
6.309573444801965e+02	8.964074e-03
7.943282347242857e+02	8.960101e-03
1.000000000000005e+03	8.170376e-03
1.258925411794174e+03	6.516594e-03
1.584893192461122e+03	5.185256e-03
1.995262314968890e+03	4.123115e-03
2.511886431509594e+03	3.277451e-03
3.162277660168397e+03	2.604713e-03
3.981071705534995e+03	2.069790e-03
5.011872336272751e+03	1.644569e-03
6.309573444801968e+03	1.306618e-03
7.943282347242860e+03	1.038062e-03
1.000000000000000e+04	8.246723e-04
