r	I(Rl)
1.000000000000000e-06	4.221499e-02
1.258925411794167e-06	4.221499e-02
1.584893192461113e-06	4.221499e-02
1.995262314968880e-06	4.221499e-02
2.511886431509580e-06	4.221499e-02
3.162277660168380e-06	4.221499e-02
3.981071705534973e-06	4.221499e-02
5.011872336272724e-06	4.221499e-02
6.309573444801935e-06	4.221499e-02
7.943282347242818e-06	4.221499e-02
1.000000000000000e-05	4.221499e-02
1.258925411794168e-05	4.221499e-02
1.584893192461114e-05	4.221499e-02
1.995262314968881e-05	4.221499e-02
2.511886431509582e-05	4.221499e-02
3.162277660168382e-05	4.221499e-02
3.981071705534976e-05	4.221499e-02
5.011872336272727e-05	4.221499e-02
6.309573444801939e-05	4.221499e-02
7.943282347242823e-05	4.221499e-02
1.000000000000001e-04	4.221499e-02
1.258925411794169e-04	4.221499e-02
1.584893192461116e-04	4.221499e-02
1.995262314968882e-04	4.221499e-02
2.511886431509584e-04	4.221499e-02
3.162277660168384e-04	4.221499e-02
3.981071705534979e-04	4.221499e-02
5.011872336272731e-04	4.221499e-02
6.309573444801943e-04	4.221499e-02
7.943282347242828e-04	4.221499e-02
1.000000000000002e-03	4.221499e-02
1.258925411794169e-03	4.221499e-02
1.584893192461116e-03	4.221499e-02
1.995262314968883e-03	4.221499e-02
2.511886431509585e-03	4.221499e-02
3.162277660168385e-03	4.221499e-02
3.981071705534979e-03	4.221499e-02
5.011872336272732e-03	4.221499e-02
6.309573444801944e-03	4.221499e-02
7.943282347242829e-03	4.221499e-02
1.000000000000002e-02	4.221499e-02
1.258925411794170e-02	4.221499e-02
1.584893192461117e-02	4.221499e-02
1.995262314968884e-02	4.221498e-02
2.511886431509586e-02	4.221498e-02
3.162277660168387e-02	4.221498e-02
3.981071705534982e-02	4.221497e-02
5.011872336272736e-02	4.221497e-02
6.309573444801950e-02	4.221497e-02
7.943282347242837e-02	4.221496e-02
1.000000000000003e-01	4.221496e-02
1.258925411794171e-01	4.221495e-02
1.584893192461118e-01	4.221494e-02
1.995262314968886e-01	4.221492e-02
2.511886431509588e-01	4.221490e-02
3.162277660168389e-01	4.221488e-02
3.981071705534985e-01	4.221486e-02
5.011872336272739e-01	4.221482e-02
6.309573444801954e-01	4.221478e-02
7.943282347242842e-01	4.221472e-02
1.000000000000003e+00	4.221465e-02
1.258925411794172e+00	4.221456e-02
1.584893192461119e+00	4.221445e-02
1.995262314968887e+00	4.221431e-02
2.511886431509589e+00	4.221414e-02
3.162277660168391e+00	4.221392e-02
3.981071705534987e+00	4.221364e-02
5.011872336272742e+00	4.221329e-02
6.309573444801956e+00	4.221284e-02
7.943282347242846e+00	4.221229e-02
1.000000000000004e+01	4.221158e-02
1.258925411794172e+01	4.221069e-02
1.584893192461120e+01	4.220957e-02
1.995262314968888e+01	4.220816e-02
2.511886431509591e+01	4.220637e-02
3.162277660168393e+01	4.220410e-02
3.981071705534990e+01	4.220122e-02
5.011872336272745e+01	4.219756e-02
6.309573444801961e+01	4.219289e-02
7.943282347242851e+01	4.218692e-02
1.000000000000005e+02	4.217926e-02
1.258925411794173e+02	4.216935e-02
1.584893192461121e+02	3.601145e-02
1.995262314968889e+02	2.877496e-02
2.511886431509593e+02	2.293773e-02
3.162277660168395e+02	1.826542e-02
3.981071705534993e+02	1.453558e-02
5.011872336272748e+02	1.156232e-02
6.309573444801965e+02	9.194301e-03
7.943282347242857e+02	7.309514e-03
1.000000000000005e+03	5.810036e-03
1.258925411794174e+03	4.617508e-03
1.584893192461122e+03	3.669343e-03
1.995262314968890e+03	2.915620e-03
2.511886431509594e+03	2.316557e-03
3.162277660168397e+03	1.840478e-03
3.981071705534995e+03	1.462172e-03
5.011872336272751e+03	1.161588e-03
6.309573444801968e+03	9.227740e-04
7.943282347242860e+03	7.330436e-04
1.000000000000000e+04	5.823297e-04
