V(CE_0)	I(C0)	V(CE_1)	I(C1)	V(CE2)	I(C2)	V(CE3)	I(C3)	V(CE4)	I(C4)	V(CE5)	I(C5)
0	0	0.001097923	-5.489614E-6	0.002587668	-1.293834E-5	0.003453746	-1.726873E-5	0.004004349	-2.002174E-5	0.004382705	-2.191353E-5
0.01	3.536795E-14	0.009329058	3.355498E-6	0.008435565	7.824898E-6	0.007942816	1.028811E-5	0.007637466	1.18141E-5	0.007431924	1.284128E-5
0.02	6.35072E-14	0.01715553	1.42269E-5	0.01380964	3.096292E-5	0.01206676	3.967428E-5	0.01099595	4.502532E-5	0.01027068	4.864975E-5
0.03	-1.332761E-12	0.02454374	2.728774E-5	0.01874448	5.628804E-5	0.01586447	7.068444E-5	0.01411072	7.945054E-5	0.0129222	8.539156E-5
0.04	-1.313459E-12	0.03147946	4.261078E-5	0.02328346	8.359179E-5	0.01937504	1.031303E-4	0.01701099	1.149483E-4	0.01540792	1.229625E-4
0.05	1.224756E-13	0.03796642	6.017706E-5	0.02746874	1.12664E-4	0.02263223	1.368433E-4	0.01972139	1.513957E-4	0.01774587	1.612723E-4
0.06	1.372677E-13	0.04402396	7.988972E-5	0.03134029	1.43305E-4	0.0256657	1.71675E-4	0.02226322	1.88686E-4	0.01995166	2.00243E-4
0.07	-1.268544E-12	0.04968261	1.015961E-4	0.0349347	1.753317E-4	0.02850134	2.074962E-4	0.02465491	2.267271E-4	0.02203883	2.398069E-4
0.08	-1.256054E-12	0.05497946	1.251111E-4	0.03828469	2.085808E-4	0.0311616	2.441943E-4	0.02691245	2.654392E-4	0.02401916	2.799051E-4
0.09	1.749907E-13	0.05995417	1.502364E-4	0.04141909	2.42908E-4	0.03366595	2.816721E-4	0.02904967	3.047528E-4	0.0259029	3.204862E-4
0.1	1.862889E-13	0.06464623	1.76775E-4	0.04436306	2.781875E-4	0.03603124	3.198453E-4	0.03107861	3.446079E-4	0.02769906	3.615053E-4
0.11	-1.222029E-12	0.06909323	2.045389E-4	0.04713847	3.143098E-4	0.03827206	3.586409E-4	0.03300976	3.849519E-4	0.0294155	4.02923E-4
0.12	-1.211351E-12	0.07333001	2.333541E-4	0.0497643	3.511803E-4	0.0404011	3.979955E-4	0.03485231	4.257391E-4	0.03105918	4.447045E-4
0.13	2.183874E-13	0.07738833	2.630617E-4	0.052257	3.887165E-4	0.04242943	4.378537E-4	0.03661431	4.66929E-4	0.03263626	4.868191E-4
0.14	2.287059E-13	0.08129702	2.935176E-4	0.05463087	4.268468E-4	0.0443667	4.781672E-4	0.03830285	5.084862E-4	0.03415217	5.292395E-4
0.15	-1.180232E-12	0.08508218	3.245912E-4	0.05689837	4.655091E-4	0.04622138	5.188936E-4	0.0399242	5.503794E-4	0.03561177	5.719414E-4
0.16	-1.170044E-12	0.08876758	3.561637E-4	0.05907036	5.04649E-4	0.04800092	5.599959E-4	0.04148392	5.925808E-4	0.03701939	6.149032E-4
0.17	2.593024E-13	0.09237504	3.881261E-4	0.06115638	5.442188E-4	0.0497119	6.014409E-4	0.04298695	6.350655E-4	0.03837893	6.581055E-4
0.18	2.693924E-13	0.09592485	4.203767E-4	0.06316482	5.841765E-4	0.05136016	6.431995E-4	0.04443773	6.778116E-4	0.03969387	7.015308E-4
0.19	-1.139775E-12	0.09943615	4.528199E-4	0.06510306	6.244851E-4	0.05295088	6.852459E-4	0.04584019	7.207993E-4	0.04096734	7.451634E-4
0.2	-1.129685E-12	0.1029273	4.853639E-4	0.06697767	6.65112E-4	0.05448868	7.275569E-4	0.0471979	7.640107E-4	0.04220221	7.889891E-4
0.21	2.995969E-13	0.1064163	5.179187E-4	0.06879449	7.060279E-4	0.05597771	7.701117E-4	0.04851406	8.074299E-4	0.04340104	8.329949E-4
0.22	3.096216E-13	0.109921	5.503949E-4	0.07055873	7.472066E-4	0.05742168	8.128918E-4	0.04979156	8.510423E-4	0.04456618	8.771693E-4
0.23	-1.099578E-12	0.1134597	5.827014E-4	0.07227506	7.88625E-4	0.05882394	8.558804E-4	0.05103302	8.94835E-4	0.04569975	9.215013E-4
0.24	-1.089586E-12	0.1170511	6.147437E-4	0.07394769	8.302618E-4	0.06018753	8.990625E-4	0.05224084	9.387959E-4	0.04680372	9.659815E-4
0.25	3.396629E-13	0.1207154	6.464223E-4	0.07558043	8.72098E-4	0.06151518	9.424242E-4	0.05341718	9.829142E-4	0.04787987	0.001010601
0.26	3.49655E-13	0.1244737	6.776304E-4	0.07717673	9.141165E-4	0.06280939	9.859531E-4	0.05456402	0.00102718	0.04892982	0.001055351
0.27	-1.05961E-12	0.1283492	7.082522E-4	0.07873973	9.563015E-4	0.06407243	0.001029638	0.05568319	0.001071584	0.04995509	0.001100225
0.28	-1.049553E-12	0.1323674	7.381607E-4	0.08027232	9.986386E-4	0.06530637	0.001073468	0.05677634	0.001116118	0.05095707	0.001145215
0.29	3.796963E-13	0.1365563	7.672159E-4	0.08177713	0.001041114	0.06651312	0.001117434	0.05784501	0.001160775	0.05193703	0.001190315
0.3	3.896883E-13	0.1409467	7.952632E-4	0.08325659	0.001083717	0.06769443	0.001161528	0.05889061	0.001205547	0.05289616	0.001235519
0.31	-1.019511E-12	0.1455727	8.221325E-4	0.08471297	0.001126435	0.06885189	0.001205741	0.05991444	0.001250428	0.05383555	0.001280822
0.32	-1.009519E-12	0.1504721	8.476393E-4	0.08614834	0.001169258	0.06998698	0.001250065	0.06091771	0.001295411	0.05475622	0.001326219
0.33	4.197296E-13	0.1556824	8.715878E-4	0.08756467	0.001212177	0.07110109	0.001294495	0.06190154	0.001340492	0.05565913	0.001371704
0.34	4.297216E-13	0.1612445	8.937775E-4	0.08896378	0.001255181	0.07219549	0.001339023	0.06286696	0.001385665	0.05654514	0.001417274
0.35	-9.795433E-13	0.1671968	9.14016E-4	0.0903474	0.001298263	0.07327133	0.001383643	0.06381495	0.001430925	0.05741509	0.001462925
0.36	-9.695513E-13	0.1735727	9.321363E-4	0.09171715	0.001341414	0.07432974	0.001428351	0.06474638	0.001476268	0.05826974	0.001508651
0.37	4.596977E-13	0.1803962	9.480192E-4	0.09307455	0.001384627	0.07537173	0.001473141	0.06566212	0.001521689	0.0591098	0.001554451
0.38	4.696897E-13	0.1876767	9.616166E-4	0.0944211	0.001427895	0.07639825	0.001518009	0.06656293	0.001567185	0.05993596	0.00160032
0.39	-9.395099E-13	0.1954061	9.729695E-4	0.09575819	0.001471209	0.0774102	0.001562949	0.06744956	0.001612752	0.06074884	0.001646256
0.4	-9.295179E-13	0.2035571	9.822113E-4	0.09708718	0.001514564	0.07840842	0.001607958	0.0683227	0.001658387	0.06154903	0.001692255
0.41	4.996657E-13	0.2120885	9.895554E-4	0.09840938	0.001557953	0.07939369	0.001653032	0.06918298	0.001704085	0.0623371	0.001738315
0.42	5.09723E-13	0.2209462	9.952676E-4	0.09972604	0.00160137	0.08036678	0.001698166	0.07003102	0.001749845	0.06311357	0.001784432
0.43	-8.995419E-13	0.2300732	9.996333E-4	0.1010384	0.001644808	0.08132835	0.001743358	0.0708674	0.001795663	0.06387894	0.001830605
0.44	-8.895499E-13	0.2394146	0.001002927	0.1023477	0.001688261	0.08227909	0.001788605	0.07169264	0.001841537	0.06463365	0.001876832
0.45	5.397643E-13	0.2489218	0.001005391	0.1036552	0.001731724	0.08321961	0.001833902	0.07250725	0.001887464	0.06537818	0.001923109
0.46	5.497563E-13	0.2585541	0.001007229	0.1049619	0.00177519	0.08415052	0.001879247	0.07331174	0.001933441	0.06611292	0.001969435
0.47	-8.595085E-13	0.2682793	0.001008603	0.1062692	0.001818654	0.08507236	0.001924638	0.07410653	0.001979467	0.06683827	0.002015809
0.48	-8.495165E-13	0.2780725	0.001009638	0.1075781	0.001862109	0.08598569	0.001970072	0.07489207	0.00202554	0.06755462	0.002062227
0.49	5.797323E-13	0.2879149	0.001010426	0.1088899	0.00190555	0.08689102	0.002015545	0.07566876	0.002071656	0.06826231	0.002108688
0.5	5.897243E-13	0.2977928	0.001011036	0.1102058	0.001948971	0.08778882	0.002061056	0.076437	0.002117815	0.06896167	0.002155192
0.51	-8.194752E-13	0.3076962	0.001011519	0.111527	0.001992365	0.08867957	0.002106602	0.07719715	0.002164014	0.06965305	0.002201735
0.52	-8.095485E-13	0.3176178	0.001011911	0.1128547	0.002035727	0.08956373	0.002152181	0.07794956	0.002210252	0.07033672	0.002248316
0.53	6.19635E-13	0.3275524	0.001012238	0.1141903	0.002079049	0.09044171	0.002197791	0.07869457	0.002256527	0.071013	0.002294935
0.54	6.296924E-13	0.3374963	0.001012519	0.115535	0.002122325	0.09131393	0.00224343	0.07943251	0.002302838	0.07168216	0.002341589
0.55	-7.795072E-13	0.3474468	0.001012766	0.1168903	0.002165549	0.0921808	0.002289096	0.08016367	0.002349182	0.07234444	0.002388278
0.56	-7.695805E-13	0.357402	0.00101299	0.1182575	0.002208713	0.09304269	0.002334787	0.08088834	0.002395558	0.07300013	0.002434999
0.57	6.597337E-13	0.3673606	0.001013197	0.1196381	0.002251809	0.09389999	0.0023805	0.08160681	0.002441966	0.07364945	0.002481753
0.58	6.69791E-13	0.3773217	0.001013392	0.1210338	0.002294831	0.09475305	0.002426235	0.08231934	0.002488403	0.07429263	0.002528537
0.59	-7.395391E-13	0.3872844	0.001013578	0.1224462	0.002337769	0.09560223	0.002471989	0.08302619	0.002534869	0.0749299	0.00257535
0.6	-7.294819E-13	0.3972484	0.001013758	0.1238771	0.002380615	0.09644786	0.002517761	0.08372761	0.002581362	0.07556146	0.002622193
0.61	6.998323E-13	0.4072132	0.001013934	0.1253282	0.002423359	0.09729028	0.002563549	0.08442383	0.002627881	0.07618752	0.002669062
0.62	7.097591E-13	0.4171787	0.001014106	0.1268016	0.002465992	0.09812983	0.002609351	0.08511508	0.002674425	0.07680828	0.002715959
0.63	-6.994405E-13	0.4271447	0.001014277	0.1282995	0.002508502	0.09896681	0.002655166	0.08580158	0.002720992	0.07742392	0.00276288
0.64	-6.893832E-13	0.4371109	0.001014445	0.1298241	0.002550879	0.09980155	0.002700992	0.08648354	0.002767582	0.07803462	0.002809827
0.65	7.398004E-13	0.4470775	0.001014613	0.131378	0.00259311	0.1006343	0.002746828	0.08716117	0.002814194	0.07864055	0.002856797
0.66	7.497271E-13	0.4570441	0.001014779	0.1329639	0.002635181	0.1014655	0.002792672	0.08783466	0.002860827	0.07924188	0.002903791
0.67	-6.594725E-13	0.4670109	0.001014945	0.1345846	0.002677077	0.1022953	0.002838523	0.08850419	0.002907479	0.07983877	0.002950806
0.68	-6.495458E-13	0.4769778	0.001015111	0.1362434	0.002718783	0.1031241	0.00288438	0.08916996	0.00295415	0.08043137	0.002997843
0.69	7.797684E-13	0.4869448	0.001015276	0.1379438	0.002760281	0.1039521	0.002930239	0.08983216	0.003000839	0.08101983	0.003044901
0.7	7.896951E-13	0.4969118	0.001015441	0.1396898	0.002801551	0.1047797	0.002976102	0.09049093	0.003047545	0.08160431	0.003091978
0.71	-6.195044E-13	0.5068789	0.001015606	0.1414857	0.002842572	0.1056071	0.003021964	0.09114647	0.003094268	0.08218492	0.003139075
0.72	-6.094471E-13	0.5168459	0.001015771	0.1433361	0.002883319	0.1064347	0.003067827	0.09179892	0.003141005	0.08276181	0.003186191
