Freq.V, n004V, n005
1.00000000000000e+03, 3.22997999916677e+01, -1.24601488067906e+02
1.01109090909091e+06, 3.67434913595981e+01, 1.79584110106829e+02
2.02118181818182e+06, 3.67427301201678e+01, 1.79052121918352e+02
3.03127272727273e+06, 3.67414536310595e+01, 1.78546137949676e+02
4.04136363636364e+06, 3.67396662638628e+01, 1.78046787087855e+02
5.05145454545454e+06, 3.67373691197143e+01, 1.77550232586034e+02
6.06154545454545e+06, 3.67345631094352e+01, 1.77055228773317e+02
7.07163636363636e+06, 3.67312492390823e+01, 1.76561270412315e+02
8.08172727272727e+06, 3.67274286636150e+01, 1.76068129840766e+02
9.09181818181818e+06, 3.67231027005161e+01, 1.75575702628765e+02
1.01019090909091e+07, 3.67182728333610e+01, 1.75083945812379e+02
1.11120000000000e+07, 3.67129407121330e+01, 1.74592849797036e+02
1.21220909090909e+07, 3.67071081522343e+01, 1.74102424291942e+02
1.31321818181818e+07, 3.67007771328563e+01, 1.73612690721268e+02
1.41422727272727e+07, 3.66939497949672e+01, 1.73123677874304e+02
1.51523636363636e+07, 3.66866284390273e+01, 1.72635419283502e+02
1.61624545454545e+07, 3.66788155224868e+01, 1.72147951574856e+02
1.71725454545455e+07, 3.66705136570964e+01, 1.71661313390610e+02
1.81826363636364e+07, 3.66617256060485e+01, 1.71175544662088e+02
1.91927272727273e+07, 3.66524542809622e+01, 1.70690686103997e+02
2.02028181818182e+07, 3.66427027387232e+01, 1.70206778853030e+02
2.12129090909091e+07, 3.66324741781869e+01, 1.69723864203016e+02
2.22230000000000e+07, 3.66217719367548e+01, 1.69241983406213e+02
2.32330909090909e+07, 3.66105994868301e+01, 1.68761177520951e+02
2.42431818181818e+07, 3.65989604321634e+01, 1.68281487292415e+02
2.52532727272727e+07, 3.65868585040948e+01, 1.67802953057612e+02
2.62633636363636e+07, 3.65742975577003e+01, 1.67325614668291e+02
2.72734545454545e+07, 3.65612815678523e+01, 1.66849511427485e+02
2.82835454545455e+07, 3.65478146252004e+01, 1.66374682036530e+02
2.92936363636364e+07, 3.65339009320820e+01, 1.65901164550325e+02
3.03037272727273e+07, 3.65195447983699e+01, 1.65428996339180e+02
3.13138181818182e+07, 3.65047506372657e+01, 1.64958214056011e+02
3.23239090909091e+07, 3.64895229610460e+01, 1.64488853607977e+02
3.33340000000000e+07, 3.64738663767702e+01, 1.64020950131852e+02
3.43440909090909e+07, 3.64577855819580e+01, 1.63554537972597e+02
3.53541818181818e+07, 3.64412853602426e+01, 1.63089650664705e+02
3.63642727272727e+07, 3.64243705770089e+01, 1.62626320916015e+02
3.73743636363636e+07, 3.64070461750240e+01, 1.62164580593699e+02
3.83844545454545e+07, 3.63893171700657e+01, 1.61704460712250e+02
3.93945454545455e+07, 3.63711886465577e+01, 1.61245991423267e+02
4.04046363636364e+07, 3.63526657532180e+01, 1.60789202006917e+02
4.14147272727273e+07, 3.63337536987258e+01, 1.60334120864939e+02
4.24248181818182e+07, 3.63144577474160e+01, 1.59880775515107e+02
4.34349090909091e+07, 3.62947832150039e+01, 1.59429192587041e+02
4.44450000000000e+07, 3.62747354643498e+01, 1.58979397819307e+02
4.54550909090909e+07, 3.62543199012655e+01, 1.58531416057731e+02
4.64651818181818e+07, 3.62335419703714e+01, 1.58085271254855e+02
4.74752727272727e+07, 3.62124071510068e+01, 1.57640986470499e+02
4.84853636363636e+07, 3.61909209531992e+01, 1.57198583873350e+02
4.94954545454545e+07, 3.61690889136975e+01, 1.56758084743544e+02
5.05055454545455e+07, 3.61469165920727e+01, 1.56319509476188e+02
5.15156363636364e+07, 3.61244095668908e+01, 1.55882877585781e+02
5.25257272727273e+07, 3.61015734319598e+01, 1.55448207711477e+02
5.35358181818182e+07, 3.60784137926575e+01, 1.55015517623164e+02
5.45459090909091e+07, 3.60549362623392e+01, 1.54584824228305e+02
5.55560000000000e+07, 3.60311464588319e+01, 1.54156143579506e+02
5.65660909090909e+07, 3.60070500010144e+01, 1.53729490882771e+02
5.75761818181818e+07, 3.59826525054882e+01, 1.53304880506403e+02
5.85862727272727e+07, 3.59579595833389e+01, 1.52882325990516e+02
5.95963636363636e+07, 3.59329768369920e+01, 1.52461840057118e+02
