#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-12-03 01:53:44.739
#Start: 1 Hz
#Stop: 100000 Hz
#Steps: 16
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.52387 V
#Offset: 2.0171e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.53977 V
#Offset: -0.000132272 V
#Relative: yes
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 15 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz)	Channel 1 Magnitude (dB)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
1	-61.46269506906289	12.06502119280652	44.06470091548402
2.154434690031882	-58.31962332130171	11.99438507540364	87.9920993183535
4.641588833612772	-60.06750407080433	13.03673475786781	173.5216299353545
10	-47.99190294284231	3.779838461039651	171.5178879215448
21.54434690031882	-58.4415021979116	14.12638798995046	58.91343963573738
46.41588833612772	-59.65320707953408	12.30267010949613	122.0408113910052
100	-41.18677445421081	-2.348799860094017	112.971880814036
215.4434690031884	-42.97504981228105	-4.182756468090949	68.70297898541446
464.1588833612777	-32.04020899604149	-12.5611537876207	166.7678727775777
1000	-31.63198610709385	-14.42659372107869	11.46790748586429
2154.434690031882	-18.45168280496054	-23.70654455954841	177.8924932923572
4641.588833612777	-11.3289331938574	-38.2351113308928	-5.726211030036993
10000.00000000001	41.46586267629345	-42.49950954216995	168.5894114452609
21544.34690031884	11.81459778884061	-52.95636393366373	-133.487487417215
46415.8883361278	-10.01932845848602	-41.07446142789063	44.8133882959329
100000	4.37492201999402	-46.9608019990181	161.8492455380515
