#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2693
#Date Time: 2025-12-07 20:55:47.227
#Start: 1 Hz
#Stop: 100000 Hz
#Steps: 16
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.54164 V
#Offset: 6.12407e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47355 V
#Offset: -7.66928e-05 V
#Relative: yes

Frequency (Hz)	Channel 1 Magnitude (dB)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
1	-50.23369104708115	43.17610766417473	19.92123438576099
2.154434690031882	-47.27613053430286	44.17207379057533	-15.65775774109734
4.641588833612772	-48.06765694161606	46.67050474622954	18.59041888779197
10	-48.99217360715892	48.08633817006034	12.54250060424673
21.54434690031882	-60.5421700918852	59.74958135247179	-37.48568822304144
46.41588833612772	-36.40143113387344	35.6659652041936	10.59015179648413
100	-35.21458639014465	34.47885430411422	22.6625322075378
215.4434690031884	-42.39424451479165	41.63694272608645	-8.810730721390073
464.1588833612777	-40.30302834639701	39.55552509983932	18.33454653827275
1000	-30.44937355129879	29.70403861455185	-136.8665742098239
2154.434690031882	-38.68989211134085	37.93314295212738	126.7613488983542
4641.588833612777	0.4755859716593297	-1.231829675563045	-6.17308410611605
10000.00000000001	-20.16974742943686	19.45016806878431	6.245691985361645
21544.34690031884	-8.719806623723212	8.01496373219754	-138.4222483036905
46415.8883361278	-18.18470882240315	17.4821036682543	-150.8320562717476
100000	-25.02413046657589	24.32334445212041	142.6914323584389
