VDD	I(RB)
Step Information: V1=0  (Step: 1/6)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	-3.066671e-14
2.000000000000000e-02	-5.066564e-14
3.000000000000000e-02	1.349138e-12
4.000000000000000e-02	1.332241e-12
5.000000000000000e-02	-1.020461e-13
6.000000000000000e-02	-1.157264e-13
7.000000000000001e-02	1.290834e-12
8.000000000000000e-02	1.278869e-12
9.000000000000000e-02	-1.518173e-13
1.000000000000000e-01	-1.628676e-13
1.100000000000000e-01	1.245614e-12
1.200000000000000e-01	1.235052e-12
1.300000000000000e-01	-1.946078e-13
1.400000000000000e-01	-2.049082e-13
1.500000000000000e-01	1.204121e-12
1.600000000000000e-01	1.193961e-12
1.700000000000000e-01	-2.354065e-13
1.800000000000000e-01	-2.454926e-13
1.900000000000000e-01	1.163694e-12
2.000000000000000e-01	1.153648e-12
2.100000000000000e-01	-2.756355e-13
2.200000000000000e-01	-2.856602e-13
2.300000000000000e-01	1.123571e-12
2.400000000000000e-01	1.113558e-12
2.500000000000000e-01	-3.157012e-13
2.600000000000000e-01	-3.257083e-13
2.700000000000000e-01	1.083536e-12
2.800000000000000e-01	1.073532e-12
2.900000000000000e-01	-3.557201e-13
3.000000000000000e-01	-3.657221e-13
3.100000000000000e-01	1.043526e-12
3.200000000000000e-01	1.033525e-12
3.300000000000000e-01	-3.957255e-13
3.400000000000000e-01	-4.057261e-13
3.500000000000000e-01	1.003523e-12
3.600000000000000e-01	9.935224e-13
3.700000000000000e-01	-4.357271e-13
3.800000000000000e-01	-4.457272e-13
3.900000000000000e-01	9.635219e-13
4.000000000000000e-01	9.535219e-13
4.100000000000000e-01	-4.757275e-13
4.200000000000000e-01	-4.857276e-13
4.300000000000000e-01	9.235217e-13
4.400000000000000e-01	9.135216e-13
4.500000000000000e-01	-5.157277e-13
4.600000000000000e-01	-5.257276e-13
4.700000000000000e-01	8.835217e-13
4.800000000000000e-01	8.735216e-13
4.900000000000000e-01	-5.557277e-13
5.000000000000000e-01	-5.657277e-13
5.100000000000000e-01	8.435217e-13
5.200000000000000e-01	8.335216e-13
5.300000000000000e-01	-5.957277e-13
5.400000000000000e-01	-6.057277e-13
5.500000000000000e-01	8.035216e-13
5.600000000000001e-01	7.935216e-13
5.700000000000001e-01	-6.357277e-13
5.800000000000000e-01	-6.457277e-13
5.900000000000000e-01	7.635216e-13
6.000000000000000e-01	7.535216e-13
6.100000000000000e-01	-6.757276e-13
6.200000000000000e-01	-6.857277e-13
6.300000000000000e-01	7.235217e-13
6.400000000000000e-01	7.135216e-13
6.500000000000000e-01	-7.157277e-13
6.600000000000000e-01	-7.257276e-13
6.700000000000000e-01	6.835217e-13
6.800000000000000e-01	6.735217e-13
6.900000000000001e-01	-7.557276e-13
7.000000000000001e-01	-7.657277e-13
7.100000000000000e-01	6.435216e-13
7.200000000000000e-01	6.335217e-13
7.300000000000000e-01	-7.957276e-13
7.400000000000000e-01	-8.057276e-13
7.500000000000000e-01	6.035217e-13
7.600000000000000e-01	5.935217e-13
7.700000000000000e-01	-8.357276e-13
7.800000000000000e-01	-8.457276e-13
7.900000000000000e-01	5.635217e-13
8.000000000000000e-01	5.535217e-13
8.100000000000001e-01	-8.757276e-13
8.200000000000001e-01	-8.857276e-13
8.300000000000001e-01	5.235217e-13
8.400000000000000e-01	5.135217e-13
8.500000000000000e-01	-9.157276e-13
8.600000000000000e-01	-9.257276e-13
8.700000000000000e-01	4.835217e-13
8.800000000000000e-01	4.735217e-13
8.900000000000000e-01	-9.557276e-13
9.000000000000000e-01	-9.657276e-13
9.100000000000000e-01	4.435217e-13
9.200000000000000e-01	4.335217e-13
9.300000000000000e-01	-9.957276e-13
9.400000000000001e-01	-1.005728e-12
9.500000000000001e-01	4.035217e-13
9.600000000000000e-01	3.935217e-13
9.700000000000000e-01	-1.035728e-12
9.800000000000000e-01	-1.045728e-12
9.900000000000000e-01	3.635217e-13
1.000000000000000e+00	3.535217e-13
1.010000000000000e+00	-1.075728e-12
1.020000000000000e+00	-1.085728e-12
1.030000000000000e+00	3.235217e-13
1.040000000000000e+00	3.135217e-13
1.050000000000000e+00	-1.115728e-12
1.060000000000000e+00	-1.125728e-12
1.070000000000000e+00	2.835217e-13
1.080000000000000e+00	2.735217e-13
1.090000000000000e+00	-1.155728e-12
1.100000000000000e+00	-1.165728e-12
1.110000000000000e+00	2.435218e-13
1.120000000000000e+00	2.335218e-13
1.130000000000000e+00	-1.195728e-12
1.140000000000000e+00	-1.205728e-12
1.150000000000000e+00	2.035218e-13
1.160000000000000e+00	1.935218e-13
1.170000000000000e+00	-1.235728e-12
1.180000000000000e+00	-1.245728e-12
1.190000000000000e+00	1.635218e-13
1.200000000000000e+00	1.535218e-13
1.210000000000000e+00	-1.275728e-12
1.220000000000000e+00	-1.285727e-12
1.230000000000000e+00	1.235218e-13
1.240000000000000e+00	1.135218e-13
1.250000000000000e+00	-1.315727e-12
1.260000000000000e+00	-1.325728e-12
1.270000000000000e+00	8.352178e-14
1.280000000000000e+00	7.352178e-14
1.290000000000000e+00	-1.355727e-12
1.300000000000000e+00	-1.365728e-12
1.310000000000000e+00	4.352179e-14
1.320000000000000e+00	3.352179e-14
1.330000000000000e+00	-1.395728e-12
1.340000000000000e+00	-1.405728e-12
1.350000000000000e+00	3.521797e-15
1.360000000000000e+00	-6.478201e-15
1.370000000000000e+00	-1.435728e-12
1.380000000000000e+00	-1.445728e-12
1.390000000000000e+00	-3.647820e-14
1.400000000000000e+00	-4.647819e-14
1.410000000000000e+00	-1.475728e-12
1.420000000000000e+00	-1.485727e-12
1.430000000000000e+00	-7.647818e-14
1.440000000000000e+00	-8.647819e-14
1.450000000000000e+00	-1.515728e-12
1.460000000000000e+00	-1.525727e-12
1.470000000000000e+00	-1.164782e-13
1.480000000000000e+00	-1.264782e-13
1.490000000000000e+00	-1.555727e-12
1.500000000000000e+00	-1.565727e-12
1.510000000000000e+00	-1.564782e-13
1.520000000000000e+00	-1.664782e-13
