Freq.	V(n004)	V(n005)
Step Information: Re=220  (Step: 1/2)
1.00000000000000e+03	(3.33413075150872e+01dB,-1.06350119830889e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.01109090909091e+06	(4.36159395946291e+01dB,1.79542567982228e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.02118181818182e+06	(4.36147303119843e+01dB,1.78819912906495e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.03127272727273e+06	(4.36126707080868e+01dB,1.78156527098181e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.04136363636364e+06	(4.36097832102283e+01dB,1.77508228569037e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.05145454545454e+06	(4.36060720308693e+01dB,1.76866256204940e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.06154545454545e+06	(4.36015398527124e+01dB,1.76227756875362e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.07163636363636e+06	(4.35961893766457e+01dB,1.75591565603363e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.08172727272727e+06	(4.35900236139022e+01dB,1.74957150131469e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.09181818181818e+06	(4.35830459615764e+01dB,1.74324258960435e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.01019090909091e+07	(4.35752602239706e+01dB,1.73692780480442e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.11120000000000e+07	(4.35666706165933e+01dB,1.73062678876988e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.21220909090909e+07	(4.35572817633809e+01dB,1.72433962031634e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.31321818181818e+07	(4.35470986907382e+01dB,1.71806664192635e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.41422727272727e+07	(4.35361268197953e+01dB,1.71180836032781e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.51523636363636e+07	(4.35243719574911e+01dB,1.70556538649006e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
