time	V(n004)	V(n005)
Step Information: Re=220  (Step: 1/2)
0.000000000000000e+00	4.951868e+00	0.000000e+00
3.906249976259879e-11	4.951868e+00	3.681554e-08
7.812499952519758e-11	4.951868e+00	7.363108e-08
1.562499990503952e-10	4.951868e+00	1.472622e-07
3.124999981007903e-10	4.951867e+00	2.945243e-07
6.249999962015806e-10	4.951859e+00	5.890486e-07
1.249999992403161e-09	4.951828e+00	1.178097e-06
2.499999984806323e-09	4.951714e+00	2.356194e-06
4.999999969612645e-09	4.951398e+00	4.712389e-06
9.999999939225290e-09	4.950689e+00	9.424777e-06
2.104843746110419e-06	4.651770e+00	1.977991e-03
4.057968746110418e-06	4.378119e+00	3.783241e-03
5.522812496110420e-06	4.179813e+00	5.101293e-03
6.987656246110421e-06	3.990327e+00	6.376161e-03
8.452499996110422e-06	3.812207e+00	7.597054e-03
9.917343746110423e-06	3.647891e+00	8.753636e-03
1.138218749611042e-05	3.499644e+00	9.836118e-03
1.284703124611043e-05	3.369506e+00	1.083533e-02
1.431187499611043e-05	3.259241e+00	1.174283e-02
1.577671874611043e-05	3.170300e+00	1.255092e-02
1.724156249611043e-05	3.103793e+00	1.325276e-02
1.870640624611043e-05	3.060466e+00	1.384242e-02
2.017124999611043e-05	3.040699e+00	1.431490e-02
2.163609374611043e-05	3.044504e+00	1.466620e-02
2.310093749611044e-05	3.071536e+00	1.489334e-02
2.456578124611044e-05	3.121109e+00	1.499442e-02
2.603062499611044e-05	3.192224e+00	1.496856e-02
2.749546874611044e-05	3.283592e+00	1.481599e-02
2.944859374611044e-05	3.434236e+00	1.441785e-02
3.140171874611044e-05	3.613913e+00	1.380284e-02
3.335484374611044e-05	3.817910e+00	1.298023e-02
3.530796874611044e-05	4.041195e+00	1.196239e-02
3.726109374611044e-05	4.278602e+00	1.076462e-02
3.970249999611045e-05	4.587412e+00	9.042063e-03
4.165562499611045e-05	4.838122e+00	7.509010e-03
4.263218749611045e-05	4.963116e+00	6.698619e-03
4.360874999611045e-05	5.087159e+00	5.863015e-03
4.507359374611045e-05	5.270364e+00	4.569240e-03
4.653843749611045e-05	5.448790e+00	3.236785e-03
4.800328124611045e-05	5.621071e+00	1.876930e-03
4.995640624611046e-05	5.839195e+00	4.108609e-05
5.190953124611046e-05	6.041960e+00	-1.795376e-03
5.386265624611046e-05	6.227536e+00	-3.604834e-03
5.581578124611046e-05	6.394551e+00	-5.360072e-03
5.825718749611046e-05	6.575762e+00	-7.437763e-03
6.069859374611047e-05	6.725239e+00	-9.340780e-03
6.313999999611046e-05	6.842298e+00	-1.102443e-02
6.558140624611046e-05	6.926570e+00	-1.244917e-02
6.802281249611046e-05	6.977820e+00	-1.358155e-02
7.046421874611047e-05	6.995787e+00	-1.439496e-02
7.290562499611047e-05	6.980095e+00	-1.487031e-02
7.534703124611047e-05	6.930213e+00	-1.499643e-02
7.778843749611047e-05	6.845487e+00	-1.477037e-02
8.022984374611048e-05	6.725239e+00	-1.419742e-02
8.218296874611048e-05	6.603104e+00	-1.349809e-02
8.413609374611048e-05	6.457799e+00	-1.259573e-02
8.608921874611048e-05	6.289501e+00	-1.150392e-02
8.804234374611048e-05	6.098769e+00	-1.023908e-02
8.950718749611048e-05	5.941615e+00	-9.188253e-03
9.097203124611049e-05	5.773101e+00	-8.059646e-03
9.243687499611049e-05	5.594119e+00	-6.862813e-03
9.390171874611049e-05	5.405799e+00	-5.607886e-03
9.487828124611049e-05	5.275738e+00	-4.744221e-03
9.585484374611049e-05	5.142607e+00	-3.862700e-03
9.634312499611049e-05	5.075052e+00	-3.416278e-03
9.683140624611049e-05	5.006929e+00	-2.966641e-03
9.731968749611049e-05	4.938310e+00	-2.514211e-03
9.829624999611049e-05	4.799887e+00	-1.602681e-03
1.022024999961105e-04	4.242630e+00	2.069188e-03
1.046439062461105e-04	3.906176e+00	4.314937e-03
1.065970312461105e-04	3.653295e+00	6.041036e-03
1.085501562461105e-04	3.421451e+00	7.676272e-03
1.105032812461105e-04	3.216326e+00	9.196050e-03
1.124564062461105e-04	3.042983e+00	1.057751e-02
1.144095312461105e-04	2.905658e+00	1.179987e-02
1.163626562461105e-04	2.807598e+00	1.284476e-02
1.183157812461105e-04	2.750954e+00	1.369645e-02
1.202689062461105e-04	2.736729e+00	1.434212e-02
1.222220312461105e-04	2.764783e+00	1.477209e-02
1.241751562461105e-04	2.833880e+00	1.497986e-02
1.261282812461105e-04	2.941767e+00	1.496232e-02
1.280814062461105e-04	3.085287e+00	1.471974e-02
1.300345312461105e-04	3.260528e+00	1.425576e-02
1.319876562461105e-04	3.462976e+00	1.357736e-02
1.339407812461105e-04	3.687698e+00	1.269474e-02
1.363821874961105e-04	3.992032e+00	1.132479e-02
1.388235937461105e-04	4.312878e+00	9.688875e-03
1.412649999961105e-04	4.640367e+00	7.825421e-03
1.427298437461105e-04	4.836215e+00	6.616142e-03
1.432181249961105e-04	4.900982e+00	6.200083e-03
1.437064062461105e-04	4.965384e+00	5.778188e-03
1.441946874961105e-04	5.029361e+00	5.350856e-03
1.451712499961105e-04	5.155809e+00	4.481490e-03
1.466360937461105e-04	5.340900e+00	3.146854e-03
1.481009374961105e-04	5.519311e+00	1.785580e-03
1.495657812461105e-04	5.689871e+00	4.091908e-04
1.515189062461105e-04	5.903374e+00	-1.429363e-03
1.534720312461105e-04	6.099263e+00	-3.246418e-03
1.554251562461105e-04	6.276110e+00	-5.014644e-03
1.573782812461105e-04	6.432899e+00	-6.707446e-03
1.593314062461105e-04	6.568950e+00	-8.299360e-03
1.617728124961105e-04	6.709229e+00	-1.011108e-02
1.642142187461105e-04	6.816015e+00	-1.168534e-02
1.666556249961105e-04	6.889094e+00	-1.298517e-02
1.690970312461105e-04	6.928304e+00	-1.398005e-02
1.715384374961105e-04	6.933408e+00	-1.464661e-02
1.739798437461105e-04	6.904030e+00	-1.496920e-02
1.764212499961105e-04	6.839641e+00	-1.494023e-02
1.788626562461105e-04	6.739626e+00	-1.456040e-02
1.808157812461106e-04	6.633578e+00	-1.400963e-02
1.827689062461106e-04	6.504184e+00	-1.324814e-02
1.847220312461106e-04	6.351464e+00	-1.228738e-02
1.866751562461106e-04	6.175744e+00	-1.114182e-02
1.886282812461106e-04	5.977776e+00	-9.828666e-03
1.900931249961106e-04	5.815454e+00	-8.745622e-03
1.915579687461106e-04	5.642114e+00	-7.588545e-03
1.930228124961106e-04	5.458768e+00	-6.367229e-03
1.939993749961106e-04	5.331588e+00	-5.522416e-03
1.949759374961106e-04	5.200947e+00	-4.656818e-03
1.959524999961106e-04	5.067329e+00	-3.773693e-03
1.964407812461106e-04	4.999568e+00	-3.326594e-03
1.969290624961106e-04	4.931266e+00	-2.876364e-03
1.979056249961106e-04	4.793336e+00	-1.968210e-03
2.008353124961106e-04	4.374766e+00	7.869021e-04
2.032767187461106e-04	4.030997e+00	3.066464e-03
2.052298437461106e-04	3.767753e+00	4.840785e-03
2.071829687461106e-04	3.521642e+00	6.542296e-03
